CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
1.35,7.7,22.7,30.4,56.0,164.0,19.0,697.7,0.0,14.0,6.8,0.188,26.09,103.0,0.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.55,6.7,28.0,34.7,44.0,56.0,19.0,698.1,0.0,19.0,5.5,0.012,23.84,131.0,0.0,7.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.73,7.6,37.3,44.9,38.0,51.0,22.0,698.5,0.0,24.0,6.8,0.0,21.98,161.0,0.0,6.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.76,7.3,36.6,43.9,36.0,55.0,25.0,699.0,0.0,25.0,6.4,0.0,21.08,165.0,0.0,6.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.99,29.7,48.7,78.4,17.0,51.0,35.0,699.5,0.0,28.0,5.8,0.0,19.56,199.0,0.0,1.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.56,30.409289044071606,54.322000000000116,147.8,5.0,90.0,64.0,699.5,0.0,33.0,6.6,0.0,16.99,332.0,0.0,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.28,40.61111218443441,54.322000000000116,160.8,3.0,88.20376430384957,56.0,699.6,0.0,33.0,6.8,0.0,16.06,316.0,0.0,2.4,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2.34,48.973457729511786,54.322000000000116,147.8,3.0,156.0,55.0,699.8,0.0,36.0,6.2,0.0,15.44,264.0,0.0,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.23,61.97677448249035,54.322000000000116,156.4,3.0,125.0,47.0,699.7,0.0,23.0,5.9,0.0,14.35,282.0,0.0,3.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.96,75.9,53.2,129.0,3.9831512440983268,109.0,43.0,699.4,0.0,26.0,5.7,0.0,13.9,291.0,0.0,2.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.75,34.3,47.3,81.5,3.468963035069544,112.0,49.0,699.3,0.0,25.0,4.9,0.0,13.2,292.0,0.0,3.2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.67,33.2,45.0,78.2,4.994417192056923,101.0,46.0,699.4,0.0,37.0,4.9,0.0,12.68,290.0,0.0,2.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.64,41.3,44.4,85.8,3.406647651864013,141.0,51.0,699.6,0.0,26.0,4.8,0.0,12.17,301.0,0.0,2.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.76,29.1,42.6,71.7,2.1914496056814183,177.0,38.0,699.7,0.0,23.0,4.6,0.0,11.97,296.0,0.0,2.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.19,35.702774106346666,44.3,132.9,3.2949823649577343,126.0,40.0,700.1,0.0,25.0,5.0,0.0,11.62,268.0,0.0,2.6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.95,24.116030988419297,47.6,140.4307864271013,4.0,131.0,52.0,700.4,0.0,24.0,5.6,0.002,11.6,302.0,0.0,3.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2.834166124074256,23.72405674575976,52.5,109.23179995438826,5.0,178.0,63.0,700.7,0.0,17.0,6.4,0.128,15.1,285.0,0.0,1.8,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2.58,22.062372227992185,54.322000000000116,75.13853877679233,8.0,196.0,59.0,701.2,0.0,10.0,8.1,0.284,19.17,109.0,0.0,1.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.45,19.2,21.4,40.7,31.0,186.0,19.0,701.6,0.0,12.0,5.0,0.427,22.45,76.0,0.0,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.28,7.9,9.7,17.5,47.0,61.0,11.0,701.2,0.0,9.0,4.0,0.525,25.4,39.0,0.0,1.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.38,11.0,22.8,33.8,48.0,33.0,17.0,700.7,0.0,9.0,5.3,0.56,26.28,91.0,0.0,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
