CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
2.02,11.0,29.7,40.8,10.0,131.0,33.0,715.5,0.0,22.0,3.0,0.048,21.41,143.0,0.0,9.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.18,24.9,35.2,60.1,6.0,112.0,25.0,715.8,0.0,26.0,3.3,0.0,19.72,139.0,0.0,8.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2.44,44.7,49.1,93.8,6.0,123.0,32.0,716.3,0.0,28.0,3.4211457529446427,0.0,18.36,138.0,0.0,4.3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
3.01,46.22474390323498,52.95616838272815,143.04500000000007,5.0,118.0,40.0,716.4,0.0,31.0,6.0,0.0,17.19,174.0,0.0,3.8,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2.9446821674161425,51.49132046161936,48.040980775689725,143.04500000000007,6.0,168.0,63.0,716.5,0.0,35.0,6.0,0.0,16.14,358.0,0.0,2.2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0968467805699933,49.45472663000937,47.69697415302937,143.04500000000007,7.0,215.0,65.9840369578222,716.4,0.0,40.0,5.8,0.0,14.65,286.0,0.0,2.4,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False
3.1040632404310977,49.77433369917706,44.32068467438198,143.04500000000007,6.0,185.0,67.0,716.0,0.0,44.0,4.9,0.0,13.69,301.0,0.0,3.5,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
2.899987779738567,51.5168539116089,44.5,143.04500000000007,6.0,157.0,70.0,715.6,0.0,46.0,5.2,0.0,12.84,289.0,0.0,5.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0461117321632805,53.26292493020035,33.4,143.04500000000007,6.0,230.0,70.0,714.9,0.0,45.0,4.8,0.0,12.55,281.0,0.0,6.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.18,52.020207978668026,40.1,143.04500000000007,8.51486598142538,228.0,70.0,714.3,0.0,47.0,4.8,0.0,11.66,297.0,0.0,5.6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
