CO,NO,NO2,NOX,O3,PM10,PM25,PRS,RAINF,RH,SO2,SR,TOUT,WDR,WDV,WSR,CO_imputed,NO_imputed,NO2_imputed,NOX_imputed,O3_imputed,PM10_imputed,PM25_imputed,PRS_imputed,RAINF_imputed,RH_imputed,SO2_imputed,SR_imputed,TOUT_imputed,WDR_imputed,WDV_imputed,WSR_imputed
0.82,8.420135400902897,35.2,60.7,5.0,70.0,16.01,721.4,0.0,36.0,4.7,0.0,14.02,294.0,0.0,9.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.07,10.555699215057999,35.9,66.8116296995158,4.0,54.0,11.58,721.5,0.0,32.0,4.2,8.333333308582189e-05,15.31,277.0,0.0,10.7,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1.44,9.124656488489016,35.1,59.492151485405934,5.0,50.0,13.44,721.8,0.0,40.0,4.3,0.00016666666645940746,14.09,285.0,0.0,8.8,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1.26,10.537802893864532,34.7,84.3,10.0,61.0,10.5,722.1,0.0,26.0,4.4,0.00024999999984773427,20.09,289.0,0.0,7.8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.83,10.551815476964016,31.4,54.5,21.0,51.0,14.52,722.3,0.0,14.0,7.2,0.000333333333246769,23.39,271.0,0.0,8.3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.82,11.340851529174465,28.4,44.1,30.0,61.0,12.32,722.0,0.0,13.0,7.1,0.00041666666665253124,26.46,271.0,0.0,5.5,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.87,12.6,30.8,43.4,40.0,47.0,15.73,721.2,0.0,13.0,6.799999443856999,0.0005000000000610859,27.35,83.0,0.0,7.5,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
0.86,6.0,18.9,24.8,59.0,53.0,28.68,720.1,0.0,13.0,4.1,0.0005833333334684451,27.81,90.0,0.0,12.8,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.78,4.5,15.2,19.6,65.0,71.0,31.15,719.5,0.0,13.0,4.0,0.0006666666668705815,28.28,96.0,0.0,14.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.74,4.1,14.6,18.6,66.0,69.0,19.63,719.0,0.0,13.0,4.4,0.0007500000002634048,28.33,109.0,0.0,14.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.71,3.6,17.0,20.5,70.0,54.0,13.61,719.1,0.0,16.0,4.337498681426475,0.0008333333336428141,27.02,123.0,0.0,14.1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
0.76,3.3,19.7,23.0,58.0,51.0,16.87,719.4,0.0,20.0,5.1,0.000916666667005011,25.44,114.0,0.0,15.1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.79,3.6,18.1,21.7,47.0,56.0,13.22,719.5,0.0,20.0,3.8,0.001,24.48,114.0,0.0,14.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.69,3.4,16.9,20.3,45.0,45.0,8.48,719.9,0.0,20.0,3.7,0.0,24.02,113.0,0.0,13.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.05,9.1,43.9,52.9,18.0,36.0,12.48,720.4,0.0,27.0,4.3,0.0,21.21,226.0,0.0,6.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.3,10.134658488623305,44.8,73.1,7.0,45.0,15.19,720.3,0.0,34.0,4.2,0.0,18.66,252.0,0.0,5.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.49,8.074556406590915,44.8,86.5,4.0,55.0,17.0,720.3,0.0,37.0,4.2,0.0,17.33,256.0,0.0,4.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.39,6.161373465022887,44.8,83.9,6.0,50.0,16.78,720.6,0.0,39.0,4.266665773156353,0.0,16.53,269.0,0.0,5.1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0.84,3.5,35.3,38.8,19.0,56.0,12.44,720.3,0.0,43.0,3.7,0.0,15.39,277.0,0.0,4.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.09,8.2,43.2,51.4,9.0,34.0,16.37,720.2,0.0,44.0,3.7,0.0,15.27,269.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.85,4.2,32.1,36.2,15.0,52.0,13.31,719.9,0.0,50.0,3.6,0.0,13.59,289.0,0.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.64,2.8,19.4,22.1,28.0,33.0,11.78,720.0,0.0,47.0,3.9,0.0,14.02,285.0,0.0,8.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.67,2.9,19.7,22.6,28.0,34.0,13.15,720.2,0.0,42.0,4.5,0.0,14.79,284.0,0.0,8.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.73,6.1,28.8,34.9,18.0,44.0,13.32,720.3,0.0,42.0,4.2,0.0,14.6,282.0,0.0,8.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.77,12.8,35.2,48.0,15.0,44.0,12.59,720.6,0.0,34.0,4.9,0.0,16.49,280.0,0.0,10.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.07,13.768647217849127,42.9,82.5,7.0,44.0,12.66,721.0,0.0,33.0,5.1,8.333333313503453e-05,16.52,280.0,0.0,9.4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1.58,12.03874851516233,44.6,76.7629235964302,5.0,60.0,15.29,721.5,0.0,36.0,5.5,0.00016666666650089025,16.73,280.0,0.0,6.9,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
